V1	V2
SOAP.k35.C2546867	unknown
SOAP.k35.C2584940	unknown
SOAP.k35.C2595549	unknown
SOAP.k35.C2618565	unknown
SOAP.k35.C2685034	unknown
SOAP.k35.C2700729	unknown
SOAP.k35.C2750268	unknown
SOAP.k35.C2767444	unknown
SOAP.k35.C2778412	unknown
SOAP.k35.C2800252	unknown
SOAP.k35.C2903066	GO:0055114
SOAP.k35.C2936972	unknown
SOAP.k35.C2951740	unknown
SOAP.k35.C2951940	unknown
SOAP.k35.C2963278	unknown
SOAP.k35.C2971278	unknown
SOAP.k35.C2998625	unknown
SOAP.k35.C3031840	unknown
SOAP.k35.C3044972	unknown
SOAP.k35.C3049061	unknown
SOAP.k35.C3052863	unknown
SOAP.k35.C3054099	unknown
SOAP.k35.C3061265	unknown
SOAP.k35.C3066963	unknown
SOAP.k35.C3140680	unknown
SOAP.k35.C3146192	unknown
SOAP.k35.C3157682	unknown
SOAP.k35.C3159126	unknown
SOAP.k35.C3161058	unknown
SOAP.k35.C3245052	unknown
SOAP.k35.C3256202	unknown
SOAP.k35.C3259364	unknown
SOAP.k35.C3263469	unknown
SOAP.k35.C3265147	unknown
SOAP.k35.C3266227	unknown
SOAP.k35.C3285672	unknown
SOAP.k35.C3299099	unknown
SOAP.k35.C3300685	unknown
SOAP.k35.C3301767	unknown
SOAP.k35.C3302867	unknown
SOAP.k35.C3310529	unknown
SOAP.k35.C3316451	unknown
SOAP.k35.C3320107	unknown
SOAP.k35.C3323607	unknown
SOAP.k35.C3337093	unknown
SOAP.k35.C3344891	unknown
SOAP.k35.C3364100	unknown
SOAP.k35.C3364928	unknown
SOAP.k35.C3366470	unknown
SOAP.k35.C3368898	unknown
SOAP.k35.C3369332	unknown
SOAP.k35.C3371636	unknown
SOAP.k35.C3373108	unknown
SOAP.k35.C3378530	unknown
SOAP.k35.C3384630	unknown
SOAP.k35.C3427200	unknown
SOAP.k35.C3432472	unknown
SOAP.k35.C3448878	unknown
SOAP.k35.C3459408	unknown
SOAP.k35.C3462162	unknown
SOAP.k35.C3463792	unknown
SOAP.k35.C3466522	unknown
SOAP.k35.C3488474	unknown
SOAP.k35.C3491200	unknown
